CompanyCode,FirstIndustryName
44,制造业
58,水利、环境和公共设施管理业
63,电力、热力、燃气及水生产和供应业
69,制造业
82,科学研究和技术服务业
88,建筑业
98,信息传输、软件和信息技术服务业
119,制造业
139,制造业
140,制造业
144,交通运输、仓储和邮政业
145,水利、环境和公共设施管理业
151,科学研究和技术服务业
165,制造业
166,交通运输、仓储和邮政业
169,制造业
176,制造业
193,制造业
198,采矿业
201,信息传输、软件和信息技术服务业
231,制造业
237,制造业
251,制造业
285,制造业
294,电力、热力、燃气及水生产和供应业
306,信息传输、软件和信息技术服务业
309,金融业
320,制造业
348,金融业
351,制造业
362,制造业
363,批发和零售业
379,制造业
381,科学研究和技术服务业
394,制造业
418,制造业
419,制造业
439,制造业
444,房地产业
447,制造业
450,制造业
473,制造业
482,制造业
493,房地产业
501,制造业
506,信息传输、软件和信息技术服务业
516,制造业
519,制造业
541,制造业
547,批发和零售业
1030,金融业
1037,房地产业
1046,制造业
1080,信息传输、软件和信息技术服务业
1086,制造业
1095,制造业
1098,文化、体育和娱乐业
1120,制造业
1143,制造业
1151,制造业
1166,制造业
1167,制造业
1169,电力、热力、燃气及水生产和供应业
1180,批发和零售业
1190,交通运输、仓储和邮政业
1194,制造业
1201,制造业
1228,制造业
1230,制造业
1244,批发和零售业
1248,制造业
1249,采矿业
1250,农、林、牧、渔业
1268,制造业
1282,金融业
1288,制造业
1289,制造业
1292,制造业
1302,农、林、牧、渔业
1307,制造业
1322,制造业
1332,交通运输、仓储和邮政业
1334,制造业
1343,批发和零售业
1352,农、林、牧、渔业
1358,制造业
1372,房地产业
1388,制造业
1391,制造业
1417,房地产业
1447,电力、热力、燃气及水生产和供应业
1458,金融业
1467,制造业
1470,制造业
1480,制造业
1482,批发和零售业
1510,制造业
1516,采矿业
1525,制造业
1545,制造业
1563,制造业
1571,房地产业
1582,房地产业
1588,批发和零售业
1606,综合
1616,房地产业
1631,制造业
1635,制造业
1643,批发和零售业
1651,信息传输、软件和信息技术服务业
1658,制造业
1673,制造业
1676,房地产业
1698,制造业
1708,制造业
1716,金融业
1718,批发和零售业
1724,房地产业
1730,信息传输、软件和信息技术服务业
1778,信息传输、软件和信息技术服务业
1779,建筑业
1790,批发和零售业
1792,批发和零售业
1804,采矿业
1813,文化、体育和娱乐业
1814,制造业
1818,制造业
1831,制造业
2335,制造业
2360,制造业
2361,制造业
2437,金融业
2717,制造业
2824,电力、热力、燃气及水生产和供应业
2909,制造业
3037,金融业
3428,信息传输、软件和信息技术服务业
3651,制造业
3655,采矿业
3691,制造业
3752,信息传输、软件和信息技术服务业
3764,制造业
3814,信息传输、软件和信息技术服务业
3832,信息传输、软件和信息技术服务业
3839,金融业
3908,制造业
4001,制造业
4015,信息传输、软件和信息技术服务业
4017,信息传输、软件和信息技术服务业
4022,制造业
4037,制造业
4054,制造业
4074,制造业
4097,建筑业
4230,制造业
4285,制造业
4286,制造业
4309,制造业
4346,制造业
4470,制造业
4587,信息传输、软件和信息技术服务业
13604,金融业
13845,信息传输、软件和信息技术服务业
18309,批发和零售业
36061,制造业
41133,金融业
41194,金融业
41676,金融业
50001,房地产业
50025,制造业
50301,制造业
70502,制造业
71941,制造业
73279,制造业
73445,金融业
73686,制造业
73901,制造业
74098,制造业
74243,制造业
74667,建筑业
74697,制造业
74719,信息传输、软件和信息技术服务业
74773,批发和零售业
74973,制造业
75020,制造业
75039,批发和零售业
75062,制造业
75067,制造业
75157,制造业
75221,批发和零售业
75885,建筑业
76056,制造业
76832,房地产业
77253,信息传输、软件和信息技术服务业
77259,制造业
77265,制造业
77267,交通运输、仓储和邮政业
77317,批发和零售业
77933,制造业
78111,制造业
78149,信息传输、软件和信息技术服务业
78194,制造业
78195,水利、环境和公共设施管理业
78203,制造业
78292,制造业
78318,制造业
78437,制造业
78518,建筑业
78545,制造业
78604,制造业
78747,信息传输、软件和信息技术服务业
78748,制造业
78819,制造业
78820,农、林、牧、渔业
78841,信息传输、软件和信息技术服务业
78855,制造业
78858,制造业
79108,信息传输、软件和信息技术服务业
79172,制造业
79320,制造业
79325,制造业
79346,金融业
79551,信息传输、软件和信息技术服务业
79959,制造业
80040,制造业
80075,信息传输、软件和信息技术服务业
80141,信息传输、软件和信息技术服务业
80312,水利、环境和公共设施管理业
80459,制造业
80623,制造业
80660,制造业
80661,制造业
80837,制造业
81453,信息传输、软件和信息技术服务业
81697,制造业
81710,制造业
81844,制造业
81938,制造业
82152,制造业
82159,信息传输、软件和信息技术服务业
82165,制造业
82178,批发和零售业
82235,租赁和商务服务业
82236,制造业
82274,制造业
82660,制造业
82712,金融业
116650,制造业
119377,制造业
149474,制造业
150634,制造业
150858,制造业
150970,信息传输、软件和信息技术服务业
151468,制造业
151469,建筑业
153109,制造业
154314,金融业
156279,电力、热力、燃气及水生产和供应业
156943,制造业
157456,制造业
157553,制造业
158481,制造业
159043,信息传输、软件和信息技术服务业
159227,制造业
162454,制造业
164516,制造业
164517,制造业
167555,制造业
169079,文化、体育和娱乐业
169822,制造业
170075,制造业
170218,制造业
170366,制造业
170380,批发和零售业
170427,制造业
170465,制造业
170469,制造业
170493,制造业
170497,制造业
170498,制造业
170499,制造业
170517,制造业
170526,制造业
170536,制造业
170537,制造业
170547,农、林、牧、渔业
170559,制造业
170595,制造业
170601,制造业
170624,制造业
170625,制造业
170640,制造业
170642,制造业
